"","day","1","2","3","4","5","median"
"1",1,0,0,0,0,0,0
"2",2,0,0,0,0,0,0
"3",3,0,0,0,0,0,0
"4",4,0,0,0,0,0,0
"5",5,0,0,0,0,0,0
"6",6,0,0,0,0,1,0
"7",7,0,0,0,0,1,0
"8",8,0,0,0,0,1,0
"9",9,0,0,0,0,1,0
"10",10,0,0,0,0,1,0
"11",11,0,0,0,0,1,0
"12",12,0,0,0,0,1,0
"13",13,1,0,0,0,2,0
"14",14,2,0,0,0,0,0
"15",15,2,0,0,0,0,0
"16",16,2,0,0,0,0,0
"17",17,2,1,1,0,0,1
"18",18,3,1,0,0,0,0
"19",19,1,1,0,1,0,1
"20",20,1,0,1,1,0,1
"21",21,1,0,1,1,0,1
"22",22,2,0,2,3,0,2
"23",23,2,1,3,3,2,2
"24",24,1,1,3,4,3,3
"25",25,2,2,3,4,3,3
"26",26,2,4,4,7,2,4
"27",27,3,6,6,9,2,6
"28",28,4,5,9,7,3,5
"29",29,6,6,9,8,4,6
"30",30,7,8,8,8,6,8
"31",31,11,9,8,7,9,9
"32",32,14,10,12,8,11,11
"33",33,16,16,12,10,12,12
"34",34,18,21,17,12,13,17
"35",35,21,26,21,13,16,21
"36",36,22,27,22,16,16,22
"37",37,22,29,23,15,13,22
"38",38,26,28,22,14,11,22
"39",39,26,28,22,15,13,22
"40",40,24,30,23,17,17,23
"41",41,24,29,23,16,20,23
"42",42,25,30,21,16,21,21
"43",43,28,30,21,17,21,21
"44",44,28,28,22,16,24,24
"45",45,29,26,26,16,23,26
"46",46,30,29,28,12,25,28
"47",47,30,30,26,12,24,26
"48",48,30,30,29,16,21,29
"49",49,31,29,29,13,21,29
"50",50,33,27,29,14,18,27
"51",51,32,29,27,16,19,27
"52",52,33,33,27,17,24,27
"53",53,31,28,26,18,22,26
"54",54,28,29,26,17,27,27
"55",55,24,27,23,17,28,24
"56",56,21,28,21,18,26,21
"57",57,21,25,22,17,24,22
"58",58,21,23,23,17,22,22
"59",59,24,20,22,15,23,22
"60",60,25,22,24,12,23,23
"61",61,27,22,26,12,23,23
"62",62,28,22,23,12,23,23
"63",63,27,17,25,12,21,21
"64",64,25,15,23,10,21,21
"65",65,27,13,23,11,22,22
"66",66,26,14,22,10,22,22
"67",67,27,14,17,9,21,17
"68",68,26,14,17,12,19,17
"69",69,25,14,17,14,16,16
"70",70,21,13,17,15,16,16
"71",71,19,14,16,18,15,16
"72",72,17,14,15,20,15,15
"73",73,15,13,17,24,15,15
"74",74,15,14,17,23,13,15
"75",75,13,14,16,26,13,14
"76",76,11,15,17,26,13,15
"77",77,10,14,17,25,12,14
"78",78,15,15,16,27,10,15
"79",79,13,13,17,23,9,13
"80",80,14,11,15,23,10,14
"81",81,14,11,14,25,12,14
"82",82,11,10,16,25,14,14
"83",83,12,11,17,21,14,14
"84",84,13,12,15,23,13,13
"85",85,12,10,13,20,12,12
"86",86,10,12,13,19,12,12
"87",87,11,13,13,23,13,13
"88",88,10,10,14,21,13,13
"89",89,11,9,10,18,13,11
"90",90,11,8,11,17,13,11
"91",91,9,7,11,17,13,11
"92",92,10,9,9,19,16,10
"93",93,13,10,10,20,13,13
"94",94,14,10,9,22,12,12
"95",95,14,10,6,22,10,10
"96",96,14,12,7,20,8,12
"97",97,13,12,7,19,7,12
"98",98,15,13,7,18,7,13
"99",99,16,13,8,18,8,13
"100",100,17,12,7,19,5,12
"101",101,17,13,6,18,7,13
"102",102,17,11,5,19,7,11
"103",103,18,11,5,19,7,11
"104",104,17,10,6,17,6,10
"105",105,17,8,6,14,5,8
"106",106,17,6,6,14,5,6
"107",107,17,7,6,13,5,7
"108",108,18,7,5,12,3,7
"109",109,18,6,5,13,2,6
"110",110,17,5,5,15,3,5
"111",111,14,5,5,17,4,5
"112",112,14,5,5,14,4,5
"113",113,15,5,6,15,3,6
"114",114,15,5,7,15,3,7
"115",115,14,6,5,11,3,6
"116",116,14,8,5,11,3,8
"117",117,13,10,6,12,3,10
"118",118,13,10,5,10,4,10
"119",119,12,10,4,10,4,10
"120",120,12,10,5,11,5,10
"121",121,10,9,7,9,5,9
"122",122,11,9,6,9,5,9
"123",123,10,10,7,9,3,9
"124",124,10,11,8,11,3,10
"125",125,5,13,8,11,3,8
"126",126,4,13,8,10,2,8
"127",127,4,11,8,9,1,8
"128",128,4,10,8,10,1,8
"129",129,4,9,8,11,1,8
"130",130,5,8,7,9,1,7
"131",131,4,9,7,10,1,7
"132",132,4,8,8,8,1,8
"133",133,3,10,8,8,2,8
"134",134,3,11,8,8,2,8
"135",135,3,11,7,7,4,7
"136",136,5,10,5,6,4,5
"137",137,5,10,5,7,7,7
"138",138,6,10,6,7,7,7
"139",139,4,9,6,6,9,6
"140",140,3,8,6,6,9,6
"141",141,3,8,7,7,10,7
"142",142,2,8,7,5,14,7
"143",143,2,9,7,5,16,7
"144",144,3,8,7,5,19,7
"145",145,3,8,7,4,22,7
"146",146,3,7,7,5,28,7
"147",147,3,7,7,5,26,7
"148",148,3,7,7,4,27,7
