"","day","1","2","3","4","5","median"
"1",1,0,0,0,0,0,0
"2",2,0,0,0,0,0,0
"3",3,0,0,0,0,0,0
"4",4,0,0,0,0,0,0
"5",5,0,0,0,0,0,0
"6",6,0,0,0,0,0,0
"7",7,0,0,0,0,0,0
"8",8,0,0,0,0,0,0
"9",9,0,0,0,0,0,0
"10",10,0,0,0,0,0,0
"11",11,0,0,0,0,0,0
"12",12,0,1,0,0,0,0
"13",13,0,1,0,0,0,0
"14",14,0,1,0,0,0,0
"15",15,0,1,1,0,1,1
"16",16,0,1,1,0,1,1
"17",17,0,1,1,0,1,1
"18",18,0,1,1,0,1,1
"19",19,0,1,0,0,1,0
"20",20,0,1,0,0,1,0
"21",21,0,1,3,0,1,1
"22",22,0,2,4,0,1,1
"23",23,0,3,4,0,1,1
"24",24,0,2,5,0,3,2
"25",25,0,2,4,0,6,2
"26",26,1,3,7,0,6,3
"27",27,2,3,7,0,6,3
"28",28,3,3,9,0,7,3
"29",29,4,3,9,1,9,4
"30",30,5,2,8,2,10,5
"31",31,5,1,9,2,10,5
"32",32,4,2,9,2,11,4
"33",33,4,2,11,2,10,4
"34",34,4,2,14,2,11,4
"35",35,4,3,17,2,16,4
"36",36,5,5,19,1,16,5
"37",37,4,5,18,1,14,5
"38",38,5,5,17,1,16,5
"39",39,6,7,20,1,18,7
"40",40,6,7,21,1,16,7
"41",41,8,8,20,2,17,8
"42",42,8,7,19,2,17,8
"43",43,8,9,20,2,17,9
"44",44,8,9,20,0,16,9
"45",45,8,10,20,0,17,10
"46",46,11,12,21,0,18,12
"47",47,9,11,21,1,17,11
"48",48,10,10,21,1,19,10
"49",49,11,9,21,0,21,11
"50",50,10,9,25,0,21,10
"51",51,11,9,23,0,25,11
"52",52,11,9,24,1,22,11
"53",53,14,9,20,1,20,14
"54",54,14,8,21,2,19,14
"55",55,15,9,21,3,20,15
"56",56,12,8,21,3,16,12
"57",57,11,8,19,3,16,11
"58",58,10,10,22,3,18,10
"59",59,9,10,22,4,18,10
"60",60,8,10,25,4,18,10
"61",61,9,11,23,2,21,11
"62",62,11,11,25,2,20,11
"63",63,12,9,23,2,20,12
"64",64,10,10,23,2,19,10
"65",65,11,8,22,2,19,11
"66",66,11,8,21,2,20,11
"67",67,12,8,21,2,23,12
"68",68,13,9,21,1,23,13
"69",69,13,8,20,1,20,13
"70",70,13,7,18,2,17,13
"71",71,13,5,15,2,16,13
"72",72,12,5,15,2,15,12
"73",73,12,5,16,2,14,12
"74",74,14,6,17,2,13,13
"75",75,12,4,16,2,10,10
"76",76,11,3,12,2,10,10
"77",77,15,3,13,1,10,10
"78",78,14,4,13,1,10,10
"79",79,14,4,13,1,11,11
"80",80,16,4,14,2,10,10
"81",81,15,4,12,2,9,9
"82",82,16,4,11,2,10,10
"83",83,15,5,11,2,10,10
"84",84,13,5,10,1,11,10
"85",85,14,5,9,2,10,9
"86",86,13,6,9,2,11,9
"87",87,11,5,9,2,12,9
"88",88,10,6,8,2,12,8
"89",89,10,7,7,2,13,7
"90",90,10,7,7,3,13,7
"91",91,10,6,6,3,11,6
"92",92,10,7,6,3,11,7
"93",93,10,7,8,4,12,8
"94",94,12,8,7,4,13,8
"95",95,9,8,7,4,12,8
"96",96,9,8,7,4,11,8
"97",97,9,8,7,4,10,8
"98",98,8,8,8,4,9,8
"99",99,8,8,7,4,6,7
"100",100,7,9,8,4,6,7
"101",101,7,8,9,4,7,7
"102",102,6,9,8,4,8,8
"103",103,7,8,10,4,9,8
"104",104,7,6,11,4,8,7
"105",105,7,7,11,4,9,7
"106",106,7,7,11,5,9,7
"107",107,8,8,11,4,8,8
"108",108,9,8,11,4,7,8
"109",109,9,7,11,6,7,7
"110",110,8,7,11,6,8,8
"111",111,9,7,13,6,10,9
"112",112,9,7,12,5,10,9
"113",113,9,7,10,5,9,9
"114",114,8,7,11,5,8,8
"115",115,9,7,11,5,8,8
"116",116,9,5,12,5,7,7
"117",117,8,4,12,5,8,8
"118",118,8,4,12,5,7,7
"119",119,7,5,11,5,5,5
"120",120,7,4,10,4,4,4
"121",121,6,4,11,5,5,5
"122",122,7,4,9,5,6,6
"123",123,8,3,9,5,5,5
"124",124,8,3,7,5,5,5
"125",125,8,3,6,6,6,6
"126",126,8,3,6,6,5,6
"127",127,7,3,5,7,5,5
"128",128,8,3,5,6,5,5
"129",129,8,3,6,5,3,5
"130",130,7,4,6,4,2,4
"131",131,6,4,7,4,2,4
"132",132,6,4,6,5,3,5
"133",133,6,4,7,5,3,5
"134",134,5,4,5,5,3,5
"135",135,4,3,5,5,4,4
"136",136,4,2,5,5,4,4
"137",137,4,2,5,5,4,4
"138",138,4,2,4,5,5,4
"139",139,4,3,5,5,5,5
"140",140,5,3,6,5,5,5
"141",141,4,3,6,6,5,5
"142",142,4,4,6,6,6,6
"143",143,3,4,6,4,6,4
"144",144,4,4,7,4,5,4
"145",145,5,4,7,4,5,5
"146",146,4,3,7,3,5,4
"147",147,5,3,6,3,4,4
"148",148,5,3,5,4,5,5
